Year,Month,Title,Place
2026,Feb,Stream fish ecology and conservation for the 21st century,"Department of Biology, Central Washington University"
2026,Jan,Stream fish ecology and conservation for the 21st century,"Warner College of Natural Resources, Colorado State University"
2025,Feb,Fisheries ecology and conservation for the 21st century,"Wildlife Biology Program, University of Montana"
2024,Nov,Using genomics to do genetics for fish and wildlife management,"Department of Natural Resources, South Dakota State University"
2023,Apr,Phenotypic and genetic diversity of fishes in changing environments,"Rocky Mountain Research Station, US Forest Service"
2022,Apr,The ecological and evolutionary significance of cryptic local adaptation,"Ecology and Evolutionary Biology, Purdue University"
2017,Sept,Thermal local adaptation and developmental diversity in western Alaskan sockeye salmon,"Department of Forestry and Natural Resources, Purdue University"
